name,sku,tagId,description,category,quantity,threshold,location.warehouseId,location.zoneId,location.shelfId,location.binId,status,inventoryStatus,price.cost,price.retail,companyId,isActive,createdBy,updatedBy,createdAt,updatedAt,saleDate
Life F,SKU0001,TAG0001,Should role sure concern.,Clothing,56,10,60f07a0fffd961f90d71bdbf,fc0f314fb0cf59816c9d660d,0f6e0ee35ea5406ce480e33d,f120bbbe1924796af973ba8c,Available,sale,44.63,580.17,64a253b4d104d27e6b2485c0,False,6a101f7b11eba5888b2c52d5,ba8f2491e94b3fe8657a50c1,2025+AC0-05+AC0-22T07:08:26,2025+AC0-07+AC0-07T06:10:21,2025+AC0-07+AC0-17T18:28:17
Image B,SKU0002,TAG0002,Sing memory heavy teach grow determine.,Electronics,87,2,83ca0e8fa80da3f907212da2,e88ca44b43cc10e0033b84e4,522f7f5323ed1af4aa7490f1,583dd77fad0de99e898239de,Available,sale,320.44,556.54,ce859022bf8f3cdc0108a48f,False,fd19d76f86537e5c7b065254,d3f1179f759faf80f4d2853f,2025+AC0-05+AC0-03T09:36:44,2025+AC0-07+AC0-16T16:59:16,2025+AC0-07+AC0-09T20:05:23
Blue N,SKU0003,TAG0003,You material call true.,Furniture,41,5,4c5aad2e272077ea357c71b7,b65a24e370d3adc668e06c05,fb36e80228acfa37816871e7,80417d1a9043ce7da2c4431c,Available,sale,353.74,953.87,e294a948c918e5ca8a32138d,False,04e3b6150ab2e9ee8b57b4b2,452fc9cde0b67938bed783b8,2025+AC0-06+AC0-16T05:40:53,2025+AC0-07+AC0-07T13:56:27,2025+AC0-07+AC0-18T08:46:43
Movie X,SKU0004,TAG0004,Artist fly move.,Accessories,5,9,7b69345538e1530be398372c,38c86a704fcfe11513c0c344,037d77c67c2b31f1a1055b18,4d4c0f044ede1286266e5c4b,Low Stock,sale,144.62,975.82,78cd63aab1be73e0da9a7fe4,False,785f4d1eaccc31b5c41a18c8,f05111670d89c483def37c14,2025+AC0-05+AC0-08T14:56:25,2025+AC0-06+AC0-23T11:57:56,2025+AC0-07+AC0-18T18:40:58
Perform R,SKU0005,TAG0005,Baby capital maintain girl pass later.,Stationery,75,8,8b88256c272e5e860520fb01,0f332b5ec65e6a66b5ac034c,1979a439ea8c45dadae13f6a,b5d975e027365e4de01b195e,Available,sale,401.01,547.55,0c74e8bc953616fa9d5ae97e,False,1f217a2c1cd9681444984561,15d13f16c1972a80a937571b,2025+AC0-05+AC0-27T09:20:42,2025+AC0-06+AC0-22T05:59:02,2025+AC0-07+AC0-10T02:38:18
Treatment O,SKU0006,TAG0006,Than young know check I look front.,Furniture,52,5,4e0f7b7d2770db5bce84a484,93f22b1e196eeb70ae8ec1fa,e5e5b34925ea7854b2c92089,03ccfd94a519e29ea70f8085,Available,sale,35.31,822.94,ad99fd581ff1387746e4acde,False,2bf71bc913dfb58c0a6ded15,2225fea02906d10a76afc2ae,2025+AC0-06+AC0-08T01:18:34,2025+AC0-07+AC0-16T06:22:25,2025+AC0-07+AC0-14T06:35:45
Admit X,SKU0007,TAG0007,Course draw she themselves nor.,Accessories,12,8,470e2e31793a7127548feb99,80bebc5e6a3899aae5bfed00,4a4bd6de0010689db45b5ab5,e540376ff7023f8c229d08fd,Available,sale,210.69,849.66,5a686eedcae6500d70f3e488,False,46be17792544b6e199e481c7,42f9b9153474c41ede14611a,2025+AC0-05+AC0-30T21:13:13,2025+AC0-07+AC0-13T03:33:48,2025+AC0-07+AC0-09T21:19:05
Ball I,SKU0008,TAG0008,Book behind water statement sound tough how.,Accessories,20,4,c8deea4caf448a7048e7332d,9fb6bbc862b5b85348976e61,1352226dd5fd150b8aac5b37,fd30dae52ce5163837312a3a,Available,sale,144.24,705.77,5e46aa47af5f85fd7b0b963c,True,633a7fcbfdbf88c39552e2a2,ccd91a61fdb68d4af3b4baf7,2025+AC0-04+AC0-26T05:19:23,2025+AC0-07+AC0-16T21:48:42,2025+AC0-07+AC0-10T15:39:18
Water G,SKU0009,TAG0009,Physical news into set.,Electronics,86,6,6f7cbd57e63ff2831f95c581,3fc9d62d2aaba332b766a229,bc9d4363b11eea4da34a4746,72528f58f86d1fe0cd1feeab,Available,sale,190.74,758.79,d9230853a64c6da5f6a142b9,False,80a2cf553eed3972d19b465a,aefdc21f779820076348d72a,2025+AC0-05+AC0-01T10:16:34,2025+AC0-07+AC0-10T06:31:05,2025+AC0-07+AC0-10T04:20:42
Action L,SKU0010,TAG0010,Whether man night charge standard.,Clothing,52,8,4014bc2d9ca2b89083e2a9ce,727f84d3b8e941cc9d3c1d37,c49769f3c926622140dae53f,bc8e042306f5168c8ff67036,Available,sale,409.57,718.1,a4fd2fc012181e3b46b7f267,True,82751fa14fb8bdf26850f1d0,f1701a3753582edbf30f574a,2025+AC0-05+AC0-03T20:17:54,2025+AC0-07+AC0-14T22:04:15,2025+AC0-07+AC0-09T06:18:53
